file,precision,recall,f1_score
Bear01_07-17s_vocals.wav,1.0,0.9215686274509803,0.9591836734693878
Bear01_07-17s_vocals.wav,0.8181818181818182,0.8823529411764706,0.8490566037735848
Bear02_72-78s_vocals.wav,0.7567567567567568,0.9032258064516129,0.823529411764706
Bear02_72-78s_vocals.wav,0.8181818181818182,0.8709677419354839,0.84375
Bear03_97-119s_vocals.wav,0.042682926829268296,1.0,0.08187134502923978
Bear03_97-119s_vocals.wav,0.0440251572327044,1.0,0.08433734939759036
Dead01_233-243s_vocals.wav,0.5441176470588235,0.6981132075471698,0.6115702479338843
Dead01_233-243s_vocals.wav,0.7358490566037735,0.7358490566037735,0.7358490566037735
Dead02_142-154s_vocals.wav,0.7837837837837838,0.8285714285714286,0.8055555555555555
Dead02_142-154s_vocals.wav,0.23595505617977527,0.6,0.3387096774193548
Lynx01_67-77s_vocals.wav,0.0,0.0,0.0
Lynx01_67-77s_vocals.wav,0.0,0.0,0.0
Ocean01_19-27s_vocals.wav,0.7692307692307693,0.7407407407407407,0.7547169811320754
Ocean01_19-27s_vocals.wav,0.7272727272727273,0.8888888888888888,0.7999999999999999
Ocean02_29-37s_vocals.wav,0.847457627118644,0.847457627118644,0.847457627118644
Ocean02_29-37s_vocals.wav,0.9824561403508771,0.9491525423728814,0.9655172413793103
Ocean03_232-237s_vocals.wav,0.6428571428571429,0.6666666666666666,0.6545454545454545
Ocean03_232-237s_vocals.wav,0.8260869565217391,0.7037037037037037,0.76
umbuso01_58-68s_vocals.wav,0.0,0.0,0.0
umbuso01_58-68s_vocals.wav,0.0,0.0,0.0
umbuso02_175-181s_vocals.wav,0.2857142857142857,0.9565217391304348,0.44
umbuso02_175-181s_vocals.wav,0.3076923076923077,0.8695652173913043,0.4545454545454545
umbuso03_393-400s_vocals.wav,0.0,0.0,0.0
umbuso03_393-400s_vocals.wav,0.0,0.0,0.0
