file,precision,recall,f1_score
Bear01_07-17s_vocals.wav,0.8888888888888888,0.7843137254901961,0.8333333333333334
Bear01_07-17s_vocals.wav,0.7586206896551724,0.8627450980392157,0.8073394495412843
Bear02_72-78s_vocals.wav,1.0,1.0,1.0
Bear02_72-78s_vocals.wav,0.8529411764705882,0.9354838709677419,0.8923076923076922
Bear03_97-119s_vocals.wav,0.038461538461538464,1.0,0.07407407407407407
Bear03_97-119s_vocals.wav,0.040697674418604654,1.0,0.0782122905027933
Dead01_233-243s_vocals.wav,0.7068965517241379,0.7735849056603774,0.7387387387387387
Dead01_233-243s_vocals.wav,0.703125,0.8490566037735849,0.7692307692307692
Dead02_142-154s_vocals.wav,0.7586206896551724,0.9428571428571428,0.8407643312101911
Dead02_142-154s_vocals.wav,0.6931818181818182,0.8714285714285714,0.7721518987341771
Lynx01_67-77s_vocals.wav,0.0,0.0,0.0
Lynx01_67-77s_vocals.wav,0.0,0.0,0.0
Ocean01_19-27s_vocals.wav,0.7272727272727273,0.8888888888888888,0.7999999999999999
Ocean01_19-27s_vocals.wav,0.7741935483870968,0.8888888888888888,0.8275862068965517
Ocean02_29-37s_vocals.wav,0.9824561403508771,0.9491525423728814,0.9655172413793103
Ocean02_29-37s_vocals.wav,0.75,0.864406779661017,0.8031496062992127
Ocean03_232-237s_vocals.wav,0.7666666666666667,0.8518518518518519,0.8070175438596491
Ocean03_232-237s_vocals.wav,0.53125,0.6296296296296297,0.5762711864406779
umbuso02_175-181s_vocals.wav,0.2702702702702703,0.43478260869565216,0.3333333333333333
umbuso02_175-181s_vocals.wav,0.3333333333333333,0.6521739130434783,0.44117647058823534
